iso3,scenario,group,pyp,pyplb,pypub,maxpyp,bestlabel,wrap_lbl,iso_a2,lifespan,bestq,target,country
MDG,405,4,478126114.6565761,113428843.4339055,148541559.30926248,493057326.09091276,"Mass campaign (pop/0.5) 
every 3 years","Mass campaign (pop/0.5)
every 3 years",MG,1.65,1,90,Madagascar
MDG,512,5,517440289.33202493,260126943.09588227,296484463.51343006,542585808.9271022,"Mass campaign (pop/1.2) 
every 2 years","Mass campaign (pop/1.2)
every 2 years",MG,1.65,1,90,Madagascar
MDG,607,6,469248540.75700015,431874090.8861062,498631117.43890077,469248540.75700015,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",MG,1.65,1,90,Madagascar
MLI,107,1,364621784.26540333,340937072.130468,260148556.1747001,364621784.26540333,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",ML,2.81,1,90,Mali
MLI,218,2,384202461.8821843,361670694.7189142,397949522.0749002,421137547.63200456,"Annual CD 
at pop x 18%",Annual CD at pop x 18%,ML,2.81,1,90,Mali
MLI,311,3,381982629.04062486,252097167.2972097,156922688.83566248,391058970.0041376,"CD between campaigns 
at pop x 11%","CD between campaigns at
pop x 11%",ML,2.81,1,90,Mali
MLI,411,4,386491611.0788148,124151618.50768532,115765324.82633197,393779050.557789,"Mass campaign (pop/1.1) 
every 3 years","Mass campaign (pop/1.1)
every 3 years",ML,2.81,1,90,Mali
MLI,520,5,410585496.6124981,227437424.04734102,228658264.7672461,429722120,"Mass campaign (pop/2) 
every 2 years","Mass campaign (pop/2)
every 2 years",ML,2.81,1,90,Mali
MLI,607,6,422356014.3886751,214792558.62809142,60297427.97159523,422356014.3886751,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",ML,2.81,1,90,Mali
MOZ,107,1,366569086.3315495,328811011.0484123,405986747.4529794,366569086.3315495,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",MZ,1.34,1,90,Mozambique
MOZ,237,2,539776187.7755957,506562965.29552853,575196247.096765,602419999.9640616,"Annual CD 
at pop x 37%",Annual CD at pop x 37%,MZ,1.34,1,90,Mozambique
MOZ,335,3,537196073.723775,507028389.29060143,395134401.20972085,549029697.5211979,"CD between campaigns 
at pop x 35%","CD between campaigns at
pop x 35%",MZ,1.34,1,90,Mozambique
MOZ,402,4,559756638.2401996,140819838.99151984,7820319.860673476,559756638.2401996,"Mass campaign (pop/0.2) 
every 3 years","Mass campaign (pop/0.2)
every 3 years",MZ,1.34,1,90,Mozambique
MOZ,510,5,585175630.3707491,260996125.48673278,303769020.74247205,619194793.5583593,"Mass campaign (pop/1) 
every 2 years","Mass campaign (pop/1)
every 2 years",MZ,1.34,1,90,Mozambique
MOZ,607,6,486926663.3383072,446931533.0456858,531596203.6294121,486926663.3383072,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",MZ,1.34,1,90,Mozambique
MRT,107,1,50569951.72660019,46420622.72568379,54183972.283708155,50569951.72660019,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",MR,1.07,1,90,Mauritania
MRT,242,2,76985909.76123695,73486075.29472214,79309278.01848724,80800395.0417922,"Annual CD 
at pop x 42%",Annual CD at pop x 42%,MR,1.07,1,90,Mauritania
MRT,507,5,85075251.28582421,39385859.60291748,43258048.88114319,87937235,"Mass campaign (pop/0.7) 
every 2 years","Mass campaign (pop/0.7)
every 2 years",MR,1.07,1,90,Mauritania
MRT,607,6,67260895.43872748,62803883.67634726,71186162.91160859,67260895.43872748,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",MR,1.07,1,90,Mauritania
MWI,107,1,221904068.3934733,200947421.71001166,243184431.3169732,221904068.3934733,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",MW,1.33,1,90,Malawi
MWI,237,2,328954533.84691375,309778627.7659846,347767324.3138263,368352590.9829534,"Annual CD 
at pop x 37%",Annual CD at pop x 37%,MW,1.33,1,90,Malawi
MWI,335,3,326708811.4951659,309736089.1907539,238617339.64085466,335041216.68594575,"CD between campaigns 
at pop x 35%","CD between campaigns at
pop x 35%",MW,1.33,1,90,Malawi
MWI,402,4,342001856.204653,86092835.84332758,4853089.42420022,342001856.204653,"Mass campaign (pop/0.2) 
every 3 years","Mass campaign (pop/0.2)
every 3 years",MW,1.33,1,90,Malawi
MWI,510,5,357550208.7099155,159550639.4200459,183202745.49744338,378191590.41386306,"Mass campaign (pop/1) 
every 2 years","Mass campaign (pop/1)
every 2 years",MW,1.33,1,90,Malawi
MWI,607,6,297736099.0205683,273747842.8323499,321373155.09030825,297736099.0205683,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",MW,1.33,1,90,Malawi
NER,107,1,477089023.2935371,311727351.3094938,186941241.28604212,477089023.2935371,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",NE,3.5,1,90,Niger
NER,214,2,466041688.71790254,431968983.6009215,491809786.2764861,542767290.5612895,"Annual CD 
at pop x 14%",Annual CD at pop x 14%,NE,3.5,1,90,Niger
NER,307,3,478398061.1841859,180906214.68512428,118676758.33463365,482223743.6437752,"CD between campaigns 
at pop x 7%","CD between campaigns at
pop x 7%",NE,3.5,1,90,Niger
NER,413,4,487840089.0199947,188762870.5925792,91023668.8083812,487840089.0199947,"Mass campaign (pop/1.3) 
every 3 years","Mass campaign (pop/1.3)
every 3 years",NE,3.5,1,90,Niger
NER,520,5,508795259.244799,292269052.99656844,67653195.92147309,525408240.70576936,"Mass campaign (pop/2) 
every 2 years","Mass campaign (pop/2)
every 2 years",NE,3.5,1,90,Niger
NER,607,6,510308342.5975519,67656611.28892387,41059187.81130913,511972010.58290297,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",NE,3.5,1,90,Niger
NGA,107,1,3110151751.4673977,2821527748.363888,3366523830.9390244,3110151751.4673977,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",NG,2.22,1,90,Nigeria
NGA,222,2,3529564051.417121,3208698807.825822,3815641499.5271997,4221027653.7227154,"Annual CD 
at pop x 22%",Annual CD at pop x 22%,NG,2.22,1,90,Nigeria
NGA,337,3,3580121792.1704288,464444574.8839723,244760989.96407872,3694192275.6034865,"CD between campaigns 
at pop x 37%","CD between campaigns at
pop x 37%",NG,2.22,1,90,Nigeria
NGA,409,4,3548240468.797058,873786649.0371423,1113521361.6139355,3720506223.892551,"Mass campaign (pop/0.9) 
every 3 years","Mass campaign (pop/0.9)
every 3 years",NG,2.22,1,90,Nigeria
NGA,518,5,3774425125.9531975,3727093458.592498,2181331740.4974895,4139225688.2786217,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",NG,2.22,1,90,Nigeria
NGA,607,6,3827368133.5664024,2093919962.1458962,2233552830.915014,3827368133.5664024,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",NG,2.22,1,90,Nigeria
RWA,107,1,162124666.4562532,149390636.130943,174185360.0989636,162124666.4562532,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",RW,1.59,1,90,Rwanda
RWA,232,2,219152446.05001348,208116196.4081918,230149014.79574203,242094841.93580583,"Annual CD 
at pop x 32%",Annual CD at pop x 32%,RW,1.59,1,90,Rwanda
RWA,328,3,215836938.6351863,209372267.19290236,158283832.27084315,224552887.4280791,"CD between campaigns 
at pop x 28%","CD between campaigns at
pop x 28%",RW,1.59,1,90,Rwanda
RWA,404,4,224136977.0222961,58144621.20068595,3511407.807239094,225546660.24439874,"Mass campaign (pop/0.4) 
every 3 years","Mass campaign (pop/0.4)
every 3 years",RW,1.59,1,90,Rwanda
RWA,512,5,236639031.19380796,120020496.28037643,133170935.47421432,249080235,"Mass campaign (pop/1.2) 
every 2 years","Mass campaign (pop/1.2)
every 2 years",RW,1.59,1,90,Rwanda
RWA,607,6,213382498.25351548,199181678.20210522,224923076.6819277,213382498.25351548,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",RW,1.59,1,90,Rwanda
SDN,107,1,738037365.2068342,627411235.458294,320093070.375731,738037365.2068342,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",SD,2.91,1,90,Sudan
SDN,217,2,775974388.0610495,630316361.1050062,895425730.0608855,913554669.8258799,"Annual CD 
at pop x 17%",Annual CD at pop x 17%,SD,2.91,1,90,Sudan
SDN,332,3,776007067.3501275,98409461.81261078,53990201.49653131,794799196.3655479,"CD between campaigns 
at pop x 32%","CD between campaigns at
pop x 32%",SD,2.91,1,90,Sudan
SDN,412,4,790425547.3902174,498584892.19502574,170012630.3226083,792707123.776731,"Mass campaign (pop/1.2) 
every 3 years","Mass campaign (pop/1.2)
every 3 years",SD,2.91,1,90,Sudan
SDN,520,5,862180791.775338,774201414.4694753,122289237.42080092,879125740.2651621,"Mass campaign (pop/2) 
every 2 years","Mass campaign (pop/2)
every 2 years",SD,2.91,1,90,Sudan
SDN,607,6,847883422.1414073,466163607.12614906,74600019.33908492,883160827.1550025,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",SD,2.91,1,90,Sudan
SEN,107,1,206877135.11162484,188335546.4260119,222238350.33518314,206877135.11162484,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",SN,1.35,1,90,Senegal
SEN,235,2,281125851.33044624,266116796.92458433,291008744.5540575,308457361.97070235,"Annual CD 
at pop x 35%",Annual CD at pop x 35%,SN,1.35,1,90,Senegal
SEN,333,3,273176726.1874922,258335318.9145057,197618577.6532061,282112727.45532966,"CD between campaigns 
at pop x 33%","CD between campaigns at
pop x 33%",SN,1.35,1,90,Senegal
SEN,402,4,291373362.93552285,76055295.63528869,5748680.434658051,291373362.93552285,"Mass campaign (pop/0.2) 
every 3 years","Mass campaign (pop/0.2)
every 3 years",SN,1.35,1,90,Senegal
SEN,510,5,305242200.8479876,138908587.38199714,152970577.75779235,319415264,"Mass campaign (pop/1) 
every 2 years","Mass campaign (pop/1)
every 2 years",SN,1.35,1,90,Senegal
SEN,607,6,267160905.5341338,248005500.28304377,281240634.0933619,267160905.5341338,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",SN,1.35,1,90,Senegal
SLE,107,1,94920627.36791295,85339570.83780928,104794941.42759044,94920627.36791295,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",SL,1.47,1,90,Sierra Leone
SLE,232,2,134652174.32704544,121966653.71708503,145454174.1358583,162915408.08547312,"Annual CD 
at pop x 32%",Annual CD at pop x 32%,SL,1.47,1,90,Sierra Leone
SLE,404,4,135938073.17223656,28843959.55484686,45475466.65003743,143996847.6670143,"Mass campaign (pop/0.4) 
every 3 years","Mass campaign (pop/0.4)
every 3 years",SL,1.47,1,90,Sierra Leone
SLE,511,5,151336269.3897992,74125401.10800941,89628228.66348054,161702041.09181467,"Mass campaign (pop/1.1) 
every 2 years","Mass campaign (pop/1.1)
every 2 years",SL,1.47,1,90,Sierra Leone
SLE,607,6,129853871.24083138,116733389.38661584,140455642.05054587,129853871.24083138,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",SL,1.47,1,90,Sierra Leone
SOM,107,1,270398264.71153384,179504354.87671113,118235940.6467763,270398264.71153384,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",SO,2.35,1,90,Somalia
SOM,221,2,296423889.0017301,212403094.3073995,79724252.44707215,326916385.5189048,"Annual CD 
at pop x 21%",Annual CD at pop x 21%,SO,2.35,1,90,Somalia
SOM,315,3,294220417.37523675,223801690.53816926,57307872.29809391,303905570.5407381,"CD between campaigns 
at pop x 15%","CD between campaigns at
pop x 15%",SO,2.35,1,90,Somalia
SOM,409,4,299606861.7944941,116955804.84195435,6345683.1841655355,306090448.0341042,"Mass campaign (pop/0.9) 
every 3 years","Mass campaign (pop/0.9)
every 3 years",SO,2.35,1,90,Somalia
SOM,519,5,313906385.49405956,230824602.5311571,46430918.2214119,334094420,"Mass campaign (pop/1.9) 
every 2 years","Mass campaign (pop/1.9)
every 2 years",SO,2.35,1,90,Somalia
SOM,607,6,318459898.1176759,240607940.73173922,29076503.80934189,318459898.1176759,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",SO,2.35,1,90,Somalia
SSD,107,1,96010057.45371738,90674686.0486564,101249516.42348419,96010057.45371738,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",SS,1.02,1,90,South Sudan
SSD,243,2,167496742.71520856,160907286.0788138,172983779.1664929,185104068.73373342,"Annual CD 
at pop x 43%",Annual CD at pop x 43%,SS,1.02,1,90,South Sudan
SSD,507,5,189974332.23743248,89198930.2823265,97264811.02650145,201124108.21889153,"Mass campaign (pop/0.7) 
every 2 years","Mass campaign (pop/0.7)
every 2 years",SS,1.02,1,90,South Sudan
SSD,607,6,133474551.97043452,127056058.85372528,140454527.0479655,133474551.97043452,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",SS,1.02,1,90,South Sudan
TCD,107,1,168215157.5326465,158080702.39753413,180283419.46925974,168215157.5326465,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",TD,1.03,1,90,Chad
TCD,242,2,289716642.3350894,275450071.8733398,302185588.45727324,323617361.5024571,"Annual CD 
at pop x 42%",Annual CD at pop x 42%,TD,1.03,1,90,Chad
TCD,507,5,331092423.1477699,155327255.37071517,174650969.71256715,350590954.28360134,"Mass campaign (pop/0.7) 
every 2 years","Mass campaign (pop/0.7)
every 2 years",TD,1.03,1,90,Chad
TCD,607,6,231969018.15288723,220012790.08138573,247834775.08607435,231969018.15288723,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",TD,1.03,1,90,Chad
TGO,107,1,127493436.76015006,118641071.16858308,134776113.63341573,127493436.76015006,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",TG,2.42,1,90,Togo
TGO,221,2,140958830.3910118,132313617.94918175,148806270.08317718,156011087.9666719,"Annual CD 
at pop x 21%",Annual CD at pop x 21%,TG,2.42,1,90,Togo
TGO,316,3,141717943.4205544,97014885.34737842,59829702.69379577,144456131.86941114,"CD between campaigns 
at pop x 16%","CD between campaigns at
pop x 16%",TG,2.42,1,90,Togo
TGO,409,4,143648233.17829162,38028087.17840252,43802297.478972316,145937093.82926345,"Mass campaign (pop/0.9) 
every 3 years","Mass campaign (pop/0.9)
every 3 years",TG,2.42,1,90,Togo
TGO,518,5,152623531.3605385,85715653.12627092,86088856.41296113,160745829.1984832,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",TG,2.42,1,90,Togo
TGO,607,6,153995707.87617326,77981292.93355118,87597712.10836495,153995707.87617326,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",TG,2.42,1,90,Togo
TZA,107,1,925421755.589458,842994800.9456438,1007765689.355804,925421755.589458,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",TZ,2.15,1,90,Tanzania
TZA,224,2,1081619930.79264,998176368.0941473,1159448653.8717012,1205464215.518448,"Annual CD 
at pop x 24%",Annual CD at pop x 24%,TZ,2.15,1,90,Tanzania
TZA,320,3,1088978141.5964775,725715821.732353,461507735.0660393,1112332297.4206288,"CD between campaigns 
at pop x 20%","CD between campaigns at
pop x 20%",TZ,2.15,1,90,Tanzania
TZA,408,4,1095798056.6635385,270744392.8114355,337302954.0485143,1120224353.525036,"Mass campaign (pop/0.8) 
every 3 years","Mass campaign (pop/0.8)
every 3 years",TZ,2.15,1,90,Tanzania
TZA,516,5,1167586152.9941325,574131884.1935478,670455551.3161377,1233701644.4399962,"Mass campaign (pop/1.6) 
every 2 years","Mass campaign (pop/1.6)
every 2 years",TZ,2.15,1,90,Tanzania
TZA,607,6,1146607788.0290642,1103477277.9172726,647953120.5964241,1146607788.0290642,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",TZ,2.15,1,90,Tanzania
UGA,107,1,584105348.6766022,541221699.5994878,628888261.9744487,584105348.6766022,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",UG,1.66,1,90,Uganda
UGA,230,2,764597302.587765,725055639.1106313,803615223.1066325,859275424.610778,"Annual CD 
at pop x 30%",Annual CD at pop x 30%,UG,1.66,1,90,Uganda
UGA,327,3,768332676.7320961,748783740.6398532,563146144.8323274,795580460.6056507,"CD between campaigns 
at pop x 27%","CD between campaigns at
pop x 27%",UG,1.66,1,90,Uganda
UGA,405,4,780865287.3965073,196429237.52412325,237723616.6424253,805236675.5825162,"Mass campaign (pop/0.5) 
every 3 years","Mass campaign (pop/0.5)
every 3 years",UG,1.66,1,90,Uganda
UGA,512,5,842219341.9276806,430822060.2853745,476650759.46993417,883255590.9750322,"Mass campaign (pop/1.2) 
every 2 years","Mass campaign (pop/1.2)
every 2 years",UG,1.66,1,90,Uganda
UGA,607,6,763072971.7849147,717222365.2659292,803358702.2357717,763072971.7849147,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",UG,1.66,1,90,Uganda
ZMB,107,1,219001425.7913528,198505419.03050023,240237127.11959517,219001425.7913528,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",ZM,1.32,1,90,Zambia
ZMB,239,2,330935939.2113733,312806286.61128277,350733848.3015214,361684723.9343666,"Annual CD 
at pop x 39%",Annual CD at pop x 39%,ZM,1.32,1,90,Zambia
ZMB,338,3,329265496.3504176,313218582.3417791,240686009.96390218,330154668.73033965,"CD between campaigns 
at pop x 38%","CD between campaigns at
pop x 38%",ZM,1.32,1,90,Zambia
ZMB,402,4,337902120.0895482,85034924.53868271,4747527.430303717,337902120.0895482,"Mass campaign (pop/0.2) 
every 3 years","Mass campaign (pop/0.2)
every 3 years",ZM,1.32,1,90,Zambia
ZMB,509,5,361318240.19381505,166349297.38207567,188972361.22112724,372110585.7357467,"Mass campaign (pop/0.9) 
every 2 years","Mass campaign (pop/0.9)
every 2 years",ZM,1.32,1,90,Zambia
ZMB,607,6,291630554.39559203,269941132.33760893,316428114.89864045,291630554.39559203,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",ZM,1.32,1,90,Zambia
ZWE,107,1,241923654.6824435,218287202.96462804,52171514.81567279,241923654.6824435,"Mass campaign (pop/1.8)
every 3 years","Mass campaign (pop/1.8)
every 3 years",ZW,2.79,1,90,Zimbabwe
ZWE,219,2,262357886.21939924,234876625.97829747,40773354.34381958,285214586.43059576,"Annual CD 
at pop x 19%",Annual CD at pop x 19%,ZW,2.79,1,90,Zimbabwe
ZWE,312,3,258823888.33956942,170336151.4073633,35372947.12839624,263069245.03362742,"CD between campaigns 
at pop x 12%","CD between campaigns at
pop x 12%",ZW,2.79,1,90,Zimbabwe
ZWE,411,4,261559070.4481849,80946357.33412158,4442333.622069874,265030638.83143076,"Mass campaign (pop/1.1) 
every 3 years","Mass campaign (pop/1.1)
every 3 years",ZW,2.79,1,90,Zimbabwe
ZWE,520,5,280813897.4610268,265136349.83206257,25330283.99811539,292884973.43853194,"Mass campaign (pop/2) 
every 2 years","Mass campaign (pop/2)
every 2 years",ZW,2.79,1,90,Zimbabwe
ZWE,607,6,286385052.77904475,144057282.47279572,26653596.46550171,288231923.2530313,"Mass campaign (pop/1.8) 
every 2 years","Mass campaign (pop/1.8)
every 2 years",ZW,2.79,1,90,Zimbabwe
